id,title,artist,top genre,year,bpm,nrgy,dnce,dB,live,val,dur,acous,spch,pop
1,Happier,Marshmello,brostep,2018,100,79,69,-3,17,67,214,19,5,86
2,when the party's over,Billie Eilish,electropop,2019,83,11,37,-14,9,20,196,98,10,86
3,Shape of You,Ed Sheeran,pop,2017,96,65,83,-3,9,93,234,58,8,85
4,One Kiss (with Dua Lipa),Calvin Harris,dance pop,2018,124,86,79,-3,8,59,215,4,11,83
5,Sweater Weather,The Neighbourhood,modern alternative rock,2013,124,81,61,-3,10,40,240,5,3,82
6,Young Dumb & Broke,Khalid,alternative r&b,2017,137,54,80,-6,17,39,203,20,4,82
7,Call Out My Name,The Weeknd,canadian contemporary r&b,2018,134,59,46,-5,31,18,228,17,4,82
8,I Like It,Cardi B,pop,2018,136,73,82,-4,37,65,253,10,13,82
9,Natural,Imagine Dragons,modern rock,2018,100,61,70,-6,8,22,189,22,4,81
10,Eastside (with Halsey & Khalid),benny blanco,electropop,2018,89,68,56,-8,12,32,174,56,32,81
11,bury a friend,Billie Eilish,electropop,2019,120,39,91,-15,11,20,193,74,33,81
12,Only Human,Jonas Brothers,boy band,2019,94,50,80,-6,6,87,183,11,7,80
13,Paradise,Coldplay,permanent wave,2011,140,59,45,-7,8,20,279,5,3,79
14,Riptide,Vance Joy,folk-pop,2014,102,73,48,-7,15,51,204,43,4,79
15,Can't Feel My Face,The Weeknd,canadian contemporary r&b,2015,108,77,71,-6,11,58,214,11,4,79
16,DJ Got Us Fallin' In Love (feat. Pitbull),Usher,atl hip hop,2010,120,86,66,-3,8,65,221,3,11,78
17,Drag Me Down,One Direction,boy band,2015,138,70,73,-6,7,60,192,11,4,78
18,One Last Time,Ariana Grande,dance pop,2014,125,59,63,-5,10,10,197,9,3,78
19,Bang Bang,Jessie J,dance pop,2014,150,79,71,-3,38,75,199,26,9,78
20,My Type,Saweetie,cali rap,2019,105,81,90,-6,7,59,126,0,26,78
21,Like I'm Gonna Lose You (feat. John Legend),Meghan Trainor,dance pop,2015,108,53,63,-7,18,42,225,40,4,77
22,"Sucker for Pain (with Wiz Khalifa, Imagine Dragons, Logic & Ty Dolla $ign feat. X Ambassadors)",Lil Wayne,hip hop,2016,169,79,50,-4,65,74,243,26,32,77
23,Hymn for the Weekend,Coldplay,permanent wave,2015,90,74,49,-5,30,36,259,26,4,77
24,Side To Side,Ariana Grande,dance pop,2016,159,74,65,-6,24,61,226,5,23,77
25,Me And My Broken Heart,Rixton,dance pop,2014,174,78,55,-4,13,55,194,0,3,76
26,Unsteady,X Ambassadors,modern alternative rock,2015,117,67,39,-6,12,20,194,18,6,76
27,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)",Calvin Harris,dance pop,2017,101,75,89,-3,9,87,223,6,6,76
28,Love Galore (feat. Travis Scott),SZA,pop,2017,135,59,80,-6,16,41,275,11,7,76
29,breathin,Ariana Grande,dance pop,2018,100,66,57,-5,21,36,198,2,4,76
30,Party In The U.S.A.,Miley Cyrus,dance pop,2009,96,70,65,-5,9,47,202,0,4,75
31,Secrets,OneRepublic,dance pop,2009,148,76,52,-6,12,38,225,7,4,75
32,Best Song Ever,One Direction,boy band,2013,118,88,65,-3,8,49,200,2,5,75
33,The A Team,Ed Sheeran,pop,2011,85,29,64,-10,18,41,258,67,4,75
34,Lost Boy,Ruth B.,canadian pop,2015,124,6,71,-15,9,35,275,97,5,75
35,Middle,DJ Snake,dance pop,2016,105,70,58,-5,5,22,221,1,4,75
36,Too Good At Goodbyes,Sam Smith,pop,2017,92,37,68,-8,17,48,201,64,4,75
37,Sky Walker (feat. Travis Scott),Miguel,dance pop,2017,146,51,67,-11,9,18,259,17,4,75
38,Act Up,City Girls,pop,2018,97,64,94,-5,11,31,158,2,19,75
39,Trip,Ella Mai,deep pop r&b,2018,80,61,48,-6,11,36,214,23,14,75
40,We Found Love,Rihanna,barbadian pop,2011,128,77,73,-4,11,60,215,3,4,74
41,Who Says,Selena Gomez & The Scene,dance pop,2011,101,93,68,-3,15,74,196,8,5,74
42,Rolling in the Deep,Adele,british soul,2011,105,76,73,-5,5,52,228,13,3,74
43,Praying,Kesha,dance pop,2017,73,39,58,-7,11,32,230,49,3,74
44,Slide (feat. Frank Ocean & Migos),Calvin Harris,dance pop,2017,104,80,74,-3,25,51,231,50,5,74
45,No Brainer,DJ Khaled,dance pop,2018,136,76,55,-5,9,64,260,7,34,74
46,How Long,Charlie Puth,dance pop,2018,110,56,85,-5,4,81,201,21,8,73
47,Brave,Sara Bareilles,acoustic pop,2013,185,84,55,-4,4,76,221,1,5,72
48,Dear Future Husband,Meghan Trainor,dance pop,2015,79,78,66,-5,32,83,184,38,19,72
49,Sorry,Beyonc‚,dance pop,2016,130,60,78,-7,25,36,233,0,5,72
50,LOYALTY. FEAT. RIHANNA.,Kendrick Lamar,conscious hip hop,2017,111,54,66,-9,20,42,227,3,6,72
51,Close,Nick Jonas,dance pop,2016,124,62,65,-5,14,40,234,25,8,71
52,Trampoline,SHAED,electropop,2018,127,41,69,-8,7,54,184,49,3,71
53,Marvin Gaye (feat. Meghan Trainor),Charlie Puth,dance pop,2015,110,62,80,-5,35,82,190,42,6,70
54,Habits (Stay High),Tove Lo,dance pop,2014,110,65,73,-4,8,35,209,7,3,70
55,"Sit Still, Look Pretty",Daya,dance pop,2016,182,74,66,-4,11,54,202,14,27,70
56,Chained To The Rhythm,Katy Perry,dance pop,2017,95,80,56,-5,20,47,238,8,11,70
57,Like A G6,Far East Movement,asian american hip hop,2010,125,84,44,-8,12,78,217,1,45,69
58,Let Me Love You (Until You Learn To Love Yourself),Ne-Yo,dance pop,2012,125,68,66,-7,37,25,252,25,4,68
59,2 On (feat. ScHoolboy Q),Tinashe,alternative r&b,2014,101,60,74,-8,11,43,227,15,11,68
60,New Flame (feat. Usher & Rick Ross),Chris Brown,dance pop,2014,142,63,70,-4,10,45,244,5,4,68
61,Love Never Felt So Good,Michael Jackson,pop,2014,118,72,78,-6,7,71,246,13,4,68
62,All Eyes on You (feat. Chris Brown & Nicki Minaj),Meek Mill,hip hop,2015,78,66,59,-5,12,25,224,2,20,68
63,Wildest Dreams,Taylor Swift,dance pop,2014,140,66,55,-7,11,47,220,7,7,68
64,Deuces (feat. Tyga & Kevin McCall),Chris Brown,dance pop,2011,74,74,69,-5,8,22,277,3,11,67
65,Pretty Girl Rock,Keri Hilson,dance pop,2010,160,87,67,-5,9,90,244,20,25,66
66,Teenage Dream,Katy Perry,dance pop,2010,120,80,72,-5,13,59,228,2,4,66
67,Let's Go (feat. Ne-Yo),Calvin Harris,dance pop,2012,128,88,71,-3,29,88,233,1,6,66
68,Animals,Martin Garrix,big room,2013,128,87,68,-6,37,4,304,0,4,66
69,Two Is Better Than One (feat. Taylor Swift),Boys Like Girls,neo mellow,2009,128,70,52,-5,10,25,243,19,3,65
70,I Want Crazy - Encore,Hunter Hayes,contemporary country,2011,103,88,56,-5,11,56,237,5,4,65
71,Highway Don't Care,Tim McGraw,contemporary country,2013,158,79,47,-5,9,50,277,2,4,65
72,Naturally,Selena Gomez & The Scene,dance pop,2009,133,90,61,-5,5,88,203,2,5,64
73,So Good,B.o.B,atl hip hop,2012,86,90,66,-5,22,59,213,4,14,64
74,My First Kiss (feat. Ke$ha),3OH!3,dance pop,2010,138,89,68,-4,36,83,192,1,8,63
75,Un-thinkable (I'm Ready),Alicia Keys,hip pop,2009,86,51,60,-8,11,34,249,73,6,63
76,Blown Away,Carrie Underwood,contemporary country,2012,137,84,53,-3,3,39,240,9,4,63
77,Pour It Up,Rihanna,barbadian pop,2012,134,48,79,-9,9,39,161,3,4,63
78,Birthday,Katy Perry,dance pop,2013,126,67,72,-5,11,84,215,9,7,63
79,Truffle Butter,Nicki Minaj,dance pop,2015,105,67,89,-7,12,49,219,7,5,63
80,Cold (feat. Future),Maroon 5,pop,2018,100,72,69,-6,5,41,234,14,11,63
81,3,Britney Spears,dance pop,2009,135,71,70,-2,14,79,213,5,5,62
82,Climax,Usher,atl hip hop,2012,136,48,65,-9,16,33,233,55,8,62
83,For the First Time,The Script,celtic rock,2011,174,63,40,-5,18,36,253,3,3,61
84,Don't You Wanna Stay (with Kelly Clarkson),Jason Aldean,contemporary country,2010,144,63,45,-5,9,15,256,13,3,61
85,Without You (feat. Usher),David Guetta,dance pop,2011,128,61,61,-4,16,40,208,23,3,61
86,Back To December,Taylor Swift,dance pop,2010,142,67,53,-5,33,29,293,12,3,61
87,Good Girl,Carrie Underwood,contemporary country,2012,129,84,62,-3,19,74,206,3,7,61
88,The Other Side,Jason Derulo,dance pop,2013,128,84,56,-4,14,52,227,5,10,61
89,Carry On,fun.,baroque pop,2012,145,69,39,-6,8,37,278,12,7,61
90,You And I,Lady Gaga,dance pop,2011,127,71,52,-5,9,51,307,8,5,60
91,Pound The Alarm,Nicki Minaj,dance pop,2011,125,86,73,-4,2,59,206,4,6,60
92,22,Taylor Swift,dance pop,2012,104,73,66,-7,8,67,230,0,4,60
93,Love Runs Out,OneRepublic,dance pop,2014,120,94,72,-4,10,74,224,17,6,60
94,Chains,Nick Jonas,dance pop,2015,76,61,59,-6,8,12,203,2,5,60
95,Birthday Cake,Rihanna,barbadian pop,2011,80,83,70,-6,36,33,78,32,5,59
96,Down In the DM (feat. Nicki Minaj) - Remix,Yo Gotti,dirty south rap,2016,153,63,79,-8,8,32,259,0,6,58
97,Your Love,Nicki Minaj,dance pop,2010,190,52,42,-10,41,18,245,0,34,56
98,Rock That Body,Black Eyed Peas,dance pop,2009,125,91,72,-6,43,84,269,2,10,56
99,Lights Down Low,MAX,dance pop,2016,81,57,62,-5,12,64,225,5,5,56
100,Heart Attack,Trey Songz,dance pop,2012,150,86,61,-5,23,48,233,6,13,55
101,I Made It (Cash Money Heroes),Kevin Rudolf,dance pop,2010,124,94,59,-3,37,57,250,4,11,54
102,Catch My Breath,Kelly Clarkson,dance pop,2012,124,91,69,-5,9,51,250,3,7,54
103,Cheers (Drink To That),Rihanna,barbadian pop,2010,80,91,58,-4,29,73,262,2,4,53
104,Already Gone,Kelly Clarkson,dance pop,2009,78,87,21,-3,8,29,282,22,8,52
105,"All I Do Is Win (feat. T-Pain, Ludacris, Snoop Dogg & Rick Ross)",DJ Khaled,dance pop,2010,150,78,54,-4,16,28,233,1,19,49
